名稱,建築團隊,年份,城市,國家,區域,柯本氣候,基地面積m2,基地面積為估算,基地分級,建築面積m2,建築面積出處,總樓地板m2,樓地板出處,容積率%,建物面積說明,典型單元,單元面積m2,單元面積為估算,單元分級,面積基準,戶數,戶型配比,戶型配比說明,對城市開放設施,僅住戶設施,設施說明,居住社群,營運屬性,特徵,說明,待確認事項,基地面積出處,單元面積出處,戶型配比出處,公設出處,地籍查詢,圖面資料狀態,圖面來源,來源連結
Cité de Refuge,Le Corbusier + Pierre Jeanneret,1933,Paris,法國,歐洲,Cfb,3000,是,中,,,,,,,宿舍床位／單人房（收容所）,12,是,小,估算：依戶數、樓地板與平面比例推估,收容約 280 人,,僅知收容約 280 人，未查到房型配比。,臨街接待門廊與登記大廳（對外來求助者開放）,,住戶專用設施未查到可靠來源。,無家者／收容、低收入,非營利（救世軍）,玻璃帷幕／遮陽板、清水混凝土、混合使用,救世軍收容所，1929–33 興建；南向全玻璃立面過熱，1935 與戰後陸續改造並加設遮陽板。1975 列為歷史建築。,,估算（見方法說明）,估算,Fondation Le Corbusier,Fondation Le Corbusier,"法國 cadastre.gouv.fr：12 rue Cantagrel, Paris 13e",推定含圖面,[推定] Universidad de Alcalá 畢業論文（Le Corbusier 氣候策略，PDF 附件） https://ebuah.uah.es/dspace/handle/10017/49975 | [推定] Docomomo 研討會論文（修復計畫） https://www.docomomo.pt/?p=10371,https://www.fondationlecorbusier.fr/en/work-architecture/achievements-cite-de-refuge-salvation-army-hostel-paris-france-1929-1933/
Unité d'Habitation,Le Corbusier,1952,Marseille,法國,歐洲,Csa,35000,是,大,3240,Architecture Lab（量體 135 × 24 m）,,,,投影面積由量體長寬計算；總樓地板未查到。,複層住宅（家庭型，約 3 房）,98,是,大,估算：依戶數、樓地板與平面比例推估,337 戶（23 種戶型）,,337 戶、23 種戶型，各戶型戶數未查到。,內部商店街與建築書店、對外營業旅館、餐廳 Le Ventre de l'Architecte、屋頂 MaMo 展覽中心（2013 起）,屋頂露台與跑道、兒童戲水池、幼兒學校／兒童藝術工作室、每三層一條內街,,一般家庭,公營（戰後重建）,清水混凝土、複層／跳層剖面、空中街道／內街、混合使用,"戰後為轟炸失所者興建的垂直社區，約 1,600 人；含內部商店街與屋頂公共設施。",,估算（見方法說明）,估算,ArchDaily · AD Classics,Wikipedia（Unité d'habitation 條目）,"法國 cadastre.gouv.fr：280 boulevard Michelet, Marseille",推定含圖面,[推定] ArchDaily · AD Classics https://www.archdaily.com/85971/ad-classics-unite-d-habitation-le-corbusier,https://www.archdaily.com/85971/ad-classics-unite-d-habitation-le-corbusier
Hansaviertel Apartment House,Alvar Aalto,1957,Berlin,德國,歐洲,Cfb,4000,是,中,,,,,,,2–3 房（中庭式起居室）,65,是,中,估算：依戶數、樓地板與平面比例推估,78 戶，8 層,,78 戶，各戶型戶數未查到。,底層架空穿越空間（東側坡道、西側階梯可達）,入口大廳（Aalto 天花彩繪）,底層穿越空間是否全天對外開放為推定。,一般家庭,公共計畫（Interbau 1957）,預鑄混凝土、中庭式平面／陽台,平面以起居室＋陽台為「中庭」，各房直接開向起居室，無走廊。,,估算（見方法說明）,估算,Visit Alvar Aalto,Visit Alvar Aalto,,已確認含圖面,[確認] Hidden Architecture（標註 Plans） http://hiddenarchitecture.net/hansaviertel-apartment-house/ | [推定] Arquitectura Viva https://arquitecturaviva.com/works/edificio-de-78-viviendas-en-hansaviertel-berlin,https://visit.alvaraalto.fi/en/destinations/hansaviertel-apartment-building-haus-16/ | https://navi.finnisharchitecture.fi/hansaviertel-apartment-house/
Hansaviertel Tower,Van den Broek en Bakema,1957,Berlin,德國,歐洲,Cfb,2500,是,中,480,Hansaviertel Berlin（塔樓 20 × 24 m）,,,,,3 房型跳層住宅（約 2 房）,92,否,大,來源公布，未註明淨／毛面積,73 戶，16 層（48 戶 92 m²、24 戶 36 m²）,3 房型跳層:48戶/92m2；1 房（走廊層）:24戶/36m2,來源記載共 73 戶，兩型合計 72 戶，餘 1 戶未說明。,,每條走廊南端的公共 loggia,,一般家庭,公共計畫（Interbau 1957）,複層／跳層剖面、預鑄混凝土、色彩立面,每三層一條走廊，東西兩翼錯半層；塔樓量體 20×24 m。,資料來源記載完工為 1959–60，與清單的 1957（Interbau 展年）不同。,估算（見方法說明）,Hansaviertel Berlin,Hansaviertel Berlin,Hansaviertel Berlin,,已確認含圖面,[確認] TU Delft DASH 期刊（跳層住宅平面，PDF） https://journals.open.tudelft.nl/dash/article/download/4629/4398/12580 | [推定] Hansaviertel Berlin https://hansaviertel.berlin/en/bauwerke/bartningallee-7haus-van-den-broek-bakema/,https://hansaviertel.berlin/en/bauwerke/bartningallee-7haus-van-den-broek-bakema/
Guild House,Venturi & Rauch（with Cope & Lippincott）,1963,Philadelphia,美國,北美,Cfa,2500,是,中,,,6132,"VSBA 專案資料（66,000 sf）",245,,Efficiency（studio）,35,是,小,估算：依戶數、樓地板與平面比例推估,"91 戶，6 層，總樓地板約 66,000 sf",Efficiency（主要）:未查到戶；1 房:未查到戶；2 房（少數）:未查到戶,Hidden City Philadelphia 記載以 efficiency 為主、少數 2 房；各型戶數未查到。,,頂層交誼廳（拱窗）、2000 年代增設：社工辦公室、健康活動室、洗衣間,,高齡者、低收入,非營利（貴格會組織）,磚造立面、後現代符號,低收入高齡者住宅；頂層拱窗為公共交誼廳。原設計即考慮輪椅通行。,,估算（見方法說明）,估算,Hidden City Philadelphia；VSBA,VSBA · Guild House,Philadelphia Atlas：711 Spring Garden St,已確認含圖面,[確認] VSBA 專案資料（含典型住戶平面，PDF） http://venturiscottbrown.org/pdfs/GuildHouse01.pdf,https://www.vsba.com/projects/guild-house-rehabilitation | http://venturiscottbrown.org/pdfs/GuildHouse01.pdf
Habitat 67,Moshe Safdie,1967,Montreal,加拿大,北美,Dfb,40000,是,大,,,22160,"Architecture Lab（238,000 ft²）",55,,雙模組住宅（約 2 房）,110,是,大,估算：依戶數、樓地板與平面比例推估,158 戶（現因合併約 146 戶），15 種戶型，365 個模組,1 房（1 模組）:未查到戶/56m2；4 房（最大）:未查到戶/167m2,"官方僅公布戶型面積範圍 600–1,800 sf（約 56–167 m²），各型戶數未查到；平均每戶約 2.3 個模組，因此以 2 模組（約 110 m²）作為典型值。",,立體步行街（每四層一條，局部放寬為兒童遊戲區）、各戶屋頂花園（約 20–90 m²，私有）、室內停車與訪客停車,,一般家庭,公營開發（Expo 67），後轉私有,預鑄／模組化、清水混凝土、屋頂花園,世博加拿大館；以預鑄混凝土盒體堆疊，每戶皆有屋頂花園。,,估算（見方法說明）,推算（官方面積範圍＋模組數）,Safdie Architects 官網,Safdie Architects 官網,,推定含圖面,[推定] ArchDaily · Architecture Classics https://www.archdaily.com/404803/ad-classics-habitat-67-moshe-safdie | [推定] Moshe Safdie Archive（McGill） https://cac.mcgill.ca/moshesafdie/fullrecord.php?ID=10816&d=1,https://www.safdiearchitects.com/projects/habitat-67 | https://www.archdaily.com/404803/ad-classics-habitat-67-moshe-safdie
Hillside Terrace（Phases I–VI）,Fumihiko Maki,1969–1992,Tokyo,日本,東亞,Cfa,7000,是,中,,,,,,,2LDK,80,是,中,估算：依戶數、樓地板與平面比例推估,住宅＋店鋪＋藝廊，分期興建,,全區戶數未查到；其中 1977 年完成的一棟住宅為 15 戶、55.59–131.05 m²（Japan Property Central）。,Hillside Plaza（地下展覽空間，地面為開放廣場）、藝廊、媒體活動中心、茶室、室內水庭、沿街店鋪與餐廳,,住戶專用設施未查到。,一般家庭,私營（地主家族委託）,分期漸進開發、混合使用、群造形 collective form,沿舊山手通分七期、約三十年完成的低層街區，公共空間與住宅交織。,,估算（見方法說明）,估算,a+t research group,Harvard GSD UDCSA；GLT Japan,,推定含圖面,[推定] Harvard GSD 都市設計案例庫（UDCSA） https://udcsa.gsd.harvard.edu/projects/14 | [推定] a+t research group https://aplust.net/blog/fumihiko_maki_hillside_terrace_shibuya_tokio_japn/,https://aplust.net/blog/fumihiko_maki_hillside_terrace_shibuya_tokio_japn/
Robin Hood Gardens,Alison & Peter Smithson,1972,London,英國,歐洲,Cfb,15000,否,大,,,,,,,2–6 房複層（maisonette）,70,是,中,估算：依戶數、樓地板與平面比例推估,213 戶，兩棟（10 層／7 層）,地面層高齡者公寓:38戶；2–6 房複層:176戶,Municipal Dreams 記載共 214 戶（38 戶高齡者＋其餘複層），與常見的 213 戶差 1 戶；各房數戶數未查到。,,中央花園與土丘、每三層的空中街道（兼兒童遊戲）、地下「護城河」停車（約 70% 戶數）、沿路 3 m 隔音牆,,社會住宅／低收入、高齡者,公營（市議會住宅）,空中街道／內街、預鑄混凝土、野獸派、已拆除,「空中街道」理論的實踐；中央以營建土方堆成小丘。2017 年起拆除。,,Wikipedia 記 1.5 ha；Architectuul 記約 2 ha（取較小值）,估算,Municipal Dreams（住宅史研究部落格）,Twentieth Century Society,,推定含圖面,[推定] ArchDaily · AD Classics https://www.archdaily.com/150629/ad-classics-robin-hood-gardens-alison-and-peter-smithson,https://www.archdaily.com/150629/ad-classics-robin-hood-gardens-alison-and-peter-smithson | https://c20society.org.uk/lost-modern/robin-hood-gardens-poplar-london
Kanchanjunga Apartments,Charles Correa,1983,Mumbai,印度,南亞,Aw,2500,是,中,441,Charles Correa Foundation（21 × 21 m）,6500,ArchEyes,260,,3 房＋4 房互鎖複層（基本組合）,180,是,大,估算：依戶數、樓地板與平面比例推估,32 戶，4 種戶型（3–6 房），塔樓 21 × 21 m、約 84 m 高,3–6 房複層（四種戶型）:32戶,基本單元為 3 房與 4 房複層互鎖，較大的 5、6 房戶再加半層而成；各型戶數未查到。,,,除各戶私人挑高花園外，未查到共用設施資料。,高收入,私營,複層／跳層剖面、雙層挑高花園陽台、氣候回應／自然通風,東西向配置以迎海風並取景，以挑高花園陽台轉譯傳統 veranda。,,估算（塔樓投影 21 × 21 m 為官方數據，外圍基地為推估）,估算,Charles Correa Foundation；Architexturez,ArchDaily · AD Classics,,已確認含圖面,[確認] Architectural References 圖面集（Planset PDF） https://architecturalreferences.online/wp-content/uploads/2023/07/Planset_Kanchanjunga-Apartments_RE.pdf | [推定] ArchDaily · AD Classics https://www.archdaily.com/151844/ad-classics-kanchanjunga-apartments-charles-correa,https://charlescorreafoundation.org/2022/03/13/kanchanjunga/ | https://www.archdaily.com/151844/ad-classics-kanchanjunga-apartments-charles-correa
Nemausus,Jean Nouvel（Atelier Jean Nouvel）+ Jean-Marc Ibos,1987,Nîmes,法國,歐洲,Csa,8000,是,中,,,10300,研究簡報（USP 課程，引 Jean Nouvel 資料）,129,,loft 型複層（simplex／duplex／triplex）,110,否,大,官方文化資產登錄記載的居住面積，不含露台,114 戶，17 種戶型，90–160 m²,,17 種戶型（simplex、duplex、triplex）的各別戶數未查到。,,架空層停車（139 位）、北側外廊與外梯、兩棟間保留原倉庫的法國梧桐中庭,,社會住宅／低收入,公營（HLM）,工業材料／金屬、懸挑外廊、高腳柱停車,以鋼、鋁、浪板等工業材料壓低成本，換取比一般 HLM 大約 30% 的室內面積。,,估算（見方法說明）,法國文化部 POP（110 m² loft，附 15 m² 露台）,法國文化部 POP；tema.archi,Cité de l'architecture 模型說明；fr.wikipedia,,已確認含圖面,[確認] 聖保羅大學課程資料（複層／三層戶平面與剖面，PDF） https://edisciplinas.usp.br/pluginfile.php/7093366/mod_folder/content/0/31.%20Nemausus.pdf,https://www.jeannouvel.com/en/projects/nemausus/ | https://architectuul.com/architecture/nemausus | https://pop.culture.gouv.fr/notice/merimee/ACR0001113
